Simulation Number, 1  0  0, 0  0  1, 1  0  1,AspectRatio_ 0  0  1/ 1  0  1,AspectRatio_ 1  0  1/ 1  0  0
135.0,142.7,146.1,138.8,1.052593659942363,0.9726699369306239
136.0,143.9,149.5,138.9,1.0763138948884088,0.9652536483669215
137.0,147.2,149.5,139.0,1.0755395683453237,0.9442934782608696
138.0,146.1,150.3,139.7,1.0758768790264854,0.9561943874058864
139.0,144.1,147.8,140.5,1.0519572953736656,0.9750173490631506
140.0,144.6,151.1,140.7,1.0739161336176262,0.9730290456431535
141.0,141.6,152.0,142.2,1.068917018284107,1.0042372881355932
142.0,143.8,152.0,143.8,1.0570236439499303,1.0
143.0,146.8,157.9,144.6,1.0919778699861689,0.9850136239782015
144.0,143.8,154.5,145.3,1.063317274604267,1.0104311543810849
145.0,145.3,156.2,146.1,1.0691307323750856,1.0055058499655882
146.0,147.5,158.7,145.4,1.0914718019257221,0.9857627118644068
147.0,149.0,160.4,147.0,1.091156462585034,0.9865771812080537
148.0,145.3,160.4,148.6,1.0794078061911172,1.0227116311080522
149.0,148.7,162.1,147.0,1.1027210884353742,0.988567585743107
150.0,150.1,167.1,150.2,1.1125166444740346,1.0006662225183212
151.0,149.8,166.3,152.0,1.0940789473684212,1.014686248331108
152.0,149.8,167.1,152.6,1.0950196592398427,1.0186915887850465
153.0,151.3,165.4,151.1,1.0946393117140967,0.9986781229345669
154.0,152.0,169.6,149.4,1.1352074966532797,0.9828947368421053
155.0,155.8,171.3,150.3,1.1397205588822354,0.9646983311938383
156.0,157.3,171.3,151.1,1.1336863004632696,0.9605848696757786
157.0,154.6,173.8,148.7,1.168796234028245,0.9618369987063389
158.0,154.2,173.0,150.2,1.151797603195739,0.9740596627756161
159.0,156.9,174.6,152.7,1.143418467583497,0.9732313575525812
160.0,159.4,176.3,151.8,1.1613965744400527,0.9523212045169386
161.0,160.3,178.8,150.2,1.1904127829560587,0.9369931378665002
162.0,161.3,181.4,147.8,1.2273342354533152,0.9163050216986981
163.0,162.5,183.0,145.5,1.2577319587628866,0.8953846153846153
164.0,160.9,180.5,147.1,1.2270564242012236,0.9142324425108762
165.0,157.6,148.6,145.4,1.0220082530949106,0.9225888324873097
166.0,151.2,151.1,144.6,1.0449515905947442,0.9563492063492064
167.0,153.5,152.8,144.6,1.0567081604426003,0.9420195439739413
168.0,146.1,150.3,140.7,1.0682302771855012,0.9630390143737166
169.0,137.8,143.6,143.7,0.9993041057759221,1.0428156748911463
170.0,144.5,146.1,136.5,1.0703296703296703,0.9446366782006921
171.0,141.6,144.4,139.0,1.0388489208633094,0.9816384180790961
172.0,141.6,144.4,132.6,1.0889894419306185,0.9364406779661016
173.0,138.9,142.7,137.3,1.039329934450109,0.988480921526278
174.0,140.8,144.4,138.7,1.041095890410959,0.9850852272727271
175.0,144.6,145.3,132.6,1.0957767722473606,0.91701244813278
176.0,141.2,144.4,137.3,1.0517115804806991,0.9723796033994336
177.0,146.1,151.1,139.0,1.08705035971223,0.9514031485284052
178.0,143.1,144.4,138.9,1.0395968322534197,0.9706498951781971
179.0,142.7,151.1,138.8,1.0886167146974062,0.9726699369306239
180.0,140.1,151.1,139.0,1.08705035971223,0.9921484653818702
181.0,142.0,152.8,140.7,1.085998578535892,0.9908450704225351
182.0,144.9,151.1,140.7,1.0739161336176262,0.9710144927536231
183.0,142.4,152.8,143.8,1.062586926286509,1.0098314606741574
184.0,142.3,153.7,143.9,1.0681028492008338,1.0112438510189738
185.0,145.6,156.2,145.4,1.074277854195323,0.9986263736263737
186.0,146.1,157.0,145.4,1.0797799174690508,0.9952087611225189
187.0,143.8,157.0,144.6,1.0857538035961274,1.0055632823365785
188.0,143.4,158.7,147.1,1.0788579197824608,1.0258019525801951
189.0,147.6,162.9,146.9,1.1089176310415247,0.9952574525745258
190.0,148.3,162.1,147.0,1.1027210884353742,0.9912339851652056
191.0,148.7,162.9,148.6,1.0962314939434725,0.9993275050437123
192.0,149.7,165.4,148.6,1.1130551816958278,0.9926519706078825
193.0,147.5,163.7,150.1,1.0906062624916721,1.0176271186440677
194.0,149.0,164.6,150.3,1.0951430472388555,1.0087248322147653
195.0,150.5,167.1,150.1,1.1132578281145902,0.9973421926910299
196.0,151.3,169.6,147.8,1.1474966170500676,0.976867151354924
197.0,153.9,171.3,150.3,1.1397205588822354,0.9766081871345029
198.0,154.6,172.1,150.3,1.1450432468396539,0.9721862871927556
199.0,156.5,174.6,149.4,1.1686746987951806,0.954632587859425
200.0,159.4,175.5,151.9,1.1553653719552337,0.9529485570890841
201.0,159.0,177.2,149.3,1.1868720696584056,0.938993710691824
202.0,158.7,176.3,150.3,1.172987358616101,0.9470699432892251
203.0,159.1,177.2,148.7,1.191661062542031,0.9346323067253299
204.0,159.8,178.8,150.3,1.1896207584830338,0.9405506883604505
205.0,159.1,178.8,148.7,1.2024209818426363,0.9346323067253299
206.0,155.3,150.3,145.4,1.033700137551582,0.9362524146812621
207.0,155.3,147.8,143.9,1.0271021542738012,0.9265936896329684
208.0,146.8,143.6,140.7,1.0206112295664536,0.9584468664850134
209.0,147.5,142.7,142.1,1.0042223786066151,0.9633898305084745
210.0,144.9,150.3,140.3,1.0712758374910905,0.9682539682539683
211.0,141.6,140.2,135.7,1.0331613854089905,0.9583333333333333
212.0,146.1,143.6,139.5,1.0293906810035842,0.9548254620123203
213.0,146.8,146.1,139.7,1.0458124552612742,0.951634877384196
214.0,146.1,142.7,134.1,1.064131245339299,0.917864476386037
215.0,138.6,145.3,142.2,1.0218002812939524,1.025974025974026
216.0,140.8,142.7,136.4,1.0461876832844574,0.96875
217.0,140.7,144.4,137.4,1.0509461426491995,0.9765458422174841
218.0,141.6,148.6,137.3,1.0823015294974507,0.9696327683615821
219.0,143.4,148.6,138.1,1.0760318609703114,0.9630404463040445
220.0,140.0,146.9,139.7,1.0515390121689336,0.9978571428571428
221.0,141.9,149.5,139.7,1.0701503221188262,0.9844961240310076
222.0,143.1,150.3,141.3,1.0636942675159236,0.9874213836477989
223.0,140.4,151.1,141.3,1.0693559801840056,1.0064102564102564
224.0,140.8,151.1,142.2,1.0625879043600563,1.0099431818181817
225.0,142.3,150.3,142.2,1.0569620253164558,0.999297259311314
226.0,143.4,152.8,143.9,1.0618485059068798,1.003486750348675
227.0,142.4,154.5,145.4,1.062585969738652,1.021067415730337
228.0,143.8,156.2,146.2,1.0683994528043776,1.0166898470097356
229.0,145.7,158.7,143.9,1.1028492008339124,0.9876458476321209
230.0,143.1,158.7,147.1,1.0788579197824608,1.0279524807826694
231.0,146.0,162.1,146.9,1.1034717494894486,1.0061643835616438
232.0,150.1,163.7,148.5,1.1023569023569022,0.9893404397068621
233.0,147.9,162.1,147.8,1.0967523680649525,0.9993238674780257
234.0,148.3,164.6,148.7,1.1069266980497647,1.0026972353337826
235.0,148.6,165.4,150.9,1.0960901259111995,1.015477792732167
236.0,149.4,167.1,151.9,1.1000658327847268,1.0167336010709505
237.0,150.1,164.6,151.1,1.0893448047650562,1.0066622251832111
238.0,151.6,168.8,151.1,1.1171409662475182,0.9967018469656992
239.0,153.9,171.3,151.8,1.1284584980237153,0.9863547758284601
240.0,154.2,173.0,150.3,1.1510312707917498,0.9747081712062259
241.0,154.6,174.6,152.6,1.144167758846658,0.9870633893919794
242.0,155.7,173.8,150.9,1.1517561298873427,0.9691714836223507
243.0,155.7,174.6,148.7,1.1741761936785475,0.9550417469492614
244.0,158.7,177.2,148.7,1.191661062542031,0.9369880277252678
245.0,158.0,178.0,148.7,1.1970410221923335,0.941139240506329
246.0,161.7,179.7,148.6,1.2092866756393001,0.9189857761286333
247.0,153.5,152.8,146.9,1.0401633764465623,0.9570032573289903
248.0,150.5,146.1,140.7,1.0383795309168444,0.9348837209302325
249.0,148.2,146.9,143.8,1.021557719054242,0.9703103913630231
250.0,149.0,146.9,134.0,1.096268656716418,0.8993288590604027
251.0,146.8,149.5,134.0,1.1156716417910448,0.9128065395095367
252.0,143.1,144.4,138.9,1.0395968322534197,0.9706498951781971
253.0,145.3,139.4,138.1,1.0094134685010863,0.950447350309704
254.0,142.3,144.4,138.1,1.0456191165821869,0.9704848910751931
255.0,143.0,143.6,134.2,1.0700447093889718,0.9384615384615383
256.0,140.0,143.6,134.2,1.0700447093889718,0.9585714285714285
257.0,143.1,145.3,132.6,1.0957767722473606,0.9266247379454926
258.0,140.7,141.1,137.3,1.0276766205389656,0.9758351101634686
259.0,137.9,144.4,136.5,1.057875457875458,0.9898477157360406
260.0,140.8,147.8,138.1,1.0702389572773354,0.9808238636363635
261.0,143.9,146.9,139.0,1.0568345323741009,0.965948575399583
262.0,140.1,148.6,139.7,1.0637079455977094,0.9971448965024982
263.0,140.1,148.6,139.0,1.0690647482014388,0.9921484653818702
264.0,142.3,153.7,140.7,1.0923951670220327,0.9887561489810258
265.0,143.1,150.3,140.6,1.0689900426742533,0.9825296995108316
266.0,141.6,151.1,142.3,1.0618411806043568,1.0049435028248588
267.0,143.8,153.7,142.1,1.0816326530612244,0.9881780250347704
268.0,143.0,154.5,145.5,1.0618556701030928,1.0174825174825175
269.0,144.1,156.2,145.3,1.0750172057811422,1.0083275503122833
270.0,143.0,156.2,147.0,1.0625850340136054,1.027972027972028
271.0,145.6,158.7,147.7,1.07447528774543,1.0144230769230769
272.0,143.1,161.2,147.1,1.0958531611148878,1.0279524807826694
273.0,145.6,161.2,148.6,1.0847913862718708,1.0206043956043955
274.0,149.8,163.7,148.6,1.101615074024226,0.9919893190921227
275.0,149.8,164.6,147.8,1.1136671177266575,0.986648865153538
276.0,147.1,164.6,149.4,1.1017402945113788,1.015635622025833
